Type1,Type2,Type3,Type4,Text
Email,Other,Service,No action,Subject: I'm unhappy with the... I'm unhappy with the service and request a refund. Delete my account.
Email,Other,Feedback,Subscription cancellation,I'm unhappy with the service and request a refund. Delete my account.
Email,Suggestion,Service,No action,"Subject: Noticed a payment gl... Noticed a payment glitch, just FYI. No action needed now."
Email,Other,Feedback,Subscription cancellation,You should enhance the service quality. Cancel my subscription please.
Email,Suggestion,Refund,Subscription retained,"Subject: Noticed a payment gl... Noticed a payment glitch, just FYI. No action needed now."
Email,Suggestion,Feedback,Account deletion,You should enhance the service quality. Cancel my subscription please.
Email,Other,Service,Account deletion,Subject: How do I get a refun... How do I get a refund? But I want to keep my subscription.
Email,Complaint,Refund,Subscription cancellation,Subject: Can you tell me more... Can you tell me more about your service? I'd like to keep my subscription.
Email,Inquiry,Feedback,No action,How do I get a refund? But I want to keep my subscription. Thanks for your attention.
Email,Inquiry,Refund,Account deletion,You should enhance the service quality. Cancel my subscription please.
Email,Inquiry,Feedback,Subscription retained,Subject: Payment issues again... Payment issues again! Refund me and delete my account.
Email,Other,Service,No action,You should enhance the service quality. Cancel my subscription please. Thanks for your attention.
Email,Complaint,Payment,Subscription cancellation,Payment issues again! Refund me and delete my account. Thanks for your attention.
Email,Complaint,Feedback,Account deletion,Can you tell me more about your service? I'd like to keep my subscription.
Email,Other,Payment,Account deletion,Subject: You should enhance t... You should enhance the service quality. Cancel my subscription please.
Email,Other,Refund,Account deletion,You should enhance the service quality. Cancel my subscription please. Thanks for your attention.
Email,Inquiry,Feedback,Subscription retained,Can you tell me more about your service? I'd like to keep my subscription.
Email,Other,Feedback,Subscription retained,Payment issues again! Refund me and delete my account. Thanks for your attention.
Email,Other,Refund,Subscription retained,Can you tell me more about your service? I'd like to keep my subscription.
Email,Inquiry,Feedback,Subscription cancellation,Subject: How do I get a refun... How do I get a refund? But I want to keep my subscription.
Email,Other,Feedback,Subscription retained,Subject: I'm unhappy with the... I'm unhappy with the service and request a refund. Delete my account.
Email,Suggestion,Refund,Subscription retained,Just wanted to give some feedback: your app is great! No changes needed. Thanks for your attention.
Email,Other,Refund,Subscription retained,I'm unhappy with the service and request a refund. Delete my account.
Email,Inquiry,Payment,Subscription cancellation,"Noticed a payment glitch, just FYI. No action needed now. Thanks for your attention."
Email,Suggestion,Refund,Subscription retained,"Subject: Hi, I suggest improv... Hi, I suggest improving your payment system. Please cancel my subscription."
Email,Inquiry,Refund,Subscription cancellation,I'm unhappy with the service and request a refund. Delete my account. Thanks for your attention.
Email,Complaint,Service,Subscription cancellation,Just wanted to give some feedback: your app is great! No changes needed.
Email,Complaint,Payment,Subscription retained,How do I get a refund? But I want to keep my subscription.
Email,Other,Service,Subscription cancellation,"Subject: Hi, I suggest improv... Hi, I suggest improving your payment system. Please cancel my subscription."
Email,Suggestion,Feedback,No action,Subject: Can you tell me more... Can you tell me more about your service? I'd like to keep my subscription.
Email,Inquiry,Feedback,No action,Can you tell me more about your service? I'd like to keep my subscription. Thanks for your attention.
Email,Suggestion,Payment,No action,How do I get a refund? But I want to keep my subscription. Thanks for your attention.
Email,Suggestion,Payment,Account deletion,I'm unhappy with the service and request a refund. Delete my account.
Email,Inquiry,Service,Subscription retained,Subject: Can you tell me more... Can you tell me more about your service? I'd like to keep my subscription.
Email,Other,Refund,Subscription cancellation,How do I get a refund? But I want to keep my subscription.
Email,Inquiry,Service,No action,"Hi, I suggest improving your payment system. Please cancel my subscription."
Email,Other,Service,Subscription cancellation,"Hi, I suggest improving your payment system. Please cancel my subscription. Thanks for your attention."
Email,Inquiry,Service,No action,Just wanted to give some feedback: your app is great! No changes needed. Thanks for your attention.
Email,Complaint,Refund,Subscription retained,I'm unhappy with the service and request a refund. Delete my account.
Email,Suggestion,Feedback,Account deletion,I'm unhappy with the service and request a refund. Delete my account.
Email,Other,Payment,Account deletion,How do I get a refund? But I want to keep my subscription. Thanks for your attention.
Email,Inquiry,Refund,Subscription retained,How do I get a refund? But I want to keep my subscription.
Email,Inquiry,Service,Subscription retained,Subject: Can you tell me more... Can you tell me more about your service? I'd like to keep my subscription.
Email,Suggestion,Refund,Subscription cancellation,Payment issues again! Refund me and delete my account. Thanks for your attention.
